"","Species","Number","Museum","AP","ML.large","ML.small","Oblique.rt","Oblique.left","ring","Species2"
"129","Pongo",37365,"MCZ",155.562,105.797,99.444,147.797,148.308,"ring4","Pongo"
"130","Pongo",50958,"MCZ",134.193,87.974,80.316,125.367,126.556,"ring4","Pongo"
"131","Pongo",2583,"CMNH",137.483,79.085,76.991,132.078,131.343,"ring4","Pongo"
"132","Pongo",1677,"AIMZ",151.491,94.535,87.196,139.213,137.55,"ring4","Pongo"
"133","Pongo",1167,"CMNH",116.573,93.588,81.987,108.601,113.395,"ring4","Pongo"
"134","Gorilla",17684,"MCZ",156.842,104.75,78.348,145.534,143.296,"ring4","Gorilla"
"135","Gorilla",2043,"MCZ",152.636,110.537,81.567,144.436,141.344,"ring4","Gorilla"
"136","Gorilla",26850,"MCZ",148.961,108.602,80.251,143.354,141.546,"ring4","Gorilla"
"137","Gorilla",29047,"MCZ",165.79,107.875,69.056,151.18,148.068,"ring4","Gorilla"
"138","Gorilla",38326,"MCZ",152.473,109.049,103.248,136.232,135.334,"ring4","Gorilla"
"139","Gorilla",1704,"CMNH",156.303,114.448,85.734,142.818,141.836,"ring4","Gorilla"
"140","Gorilla",1897,"CMNH",165.219,103.59,88.618,154.298,154.707,"ring4","Gorilla"
"141","Gorilla",1798,"CMNH",165.251,113.392,104.353,152.565,153.436,"ring4","Gorilla"
"142","Gorilla",1765,"CMNH",171.478,115.837,104.182,158.901,158.004,"ring4","Gorilla"
"143","Pan t. verus",10736,"MCZ",150.885,93.994,76.369,141.83,140.608,"ring4","Pan t."
"144","Pan t.",6244,"MCZ",150.555,89.035,66.426,140.386,139.003,"ring4","Pan t."
"145","Pan t. ellioti",1749,"CMNH",121.709,85.051,68.116,116.22,116.547,"ring4","Pan t."
"146","Pan t.",1755,"CMNH",126.931,97.974,75.259,125.305,121.813,"ring4","Pan t."
"147","Pan t.",1880,"CMNH",145.663,107.32,83.315,143.342,142.635,"ring4","Pan t."
"148","Pan t.",2823,"CMNH",109.409,84.926,72.821,110.277,107.531,"ring4","Pan t."
"149","Pan t.",1843,"CMNH",133.796,102.73,80.476,127.346,131.896,"ring4","Pan t."
"150","Pan t.",23167,"MCZ",134.239,105.439,83.052,131.421,132.722,"ring4","Pan t."
"151","Pan t.",3539,"CMNH",137.768,115.828,92.829,138.086,139.872,"ring4","Pan t."
"152","Pan t.",3551,"CMNH",133.611,95.48,74.059,127.184,128.69,"ring4","Pan t."
"153","Hylobates lar",35949,"MCZ",82.3216989,53.0946213,44.0287167,71.4622182,73.200159,"ring5","Hylobates lar"
"154","Hylobates lar",41469,"MCZ",69.326,51.021,45.238,64.755,66.003,"ring5","Hylobates lar"
"155","Hylobates lar",41449,"MCZ",73.106,53.669,43.672,67.511,66.579,"ring5","Hylobates lar"
"156","Hylobates lar",41477,"MCZ",71.839,44.642,35.244,67.424,65.18,"ring5","Hylobates lar"
"157","Hylobates lar",41506,"MCZ",72.156,44.66,34.879,63.905,61.444,"ring5","Hylobates lar"
"158","Hylobates lar",41524,"MCZ",72.445,47.401,45.558,65.865,66.593,"ring5","Hylobates lar"
"159","Hylobates lar",41416,"MCZ",73.162,49.614,45.474,66.605,68.094,"ring5","Hylobates lar"
"160","Hylobates lar",41500,"MCZ",74.606,46.359,64.37,63.958,74.906,"ring5","Hylobates lar"
"161","Hylobates lar",35943,"MCZ",70.04,49.46,40.252,67.337,67.411,"ring5","Hylobates lar"
